Date,POILBREUSDM
01-02-2021,62.3625
01-03-2021,65.79608696
01-04-2021,65.53181818
01-05-2021,68.3752381
01-06-2021,73.51272727
01-07-2021,74.40318182
01-08-2021,70.58818182
01-09-2021,74.74954545
01-10-2021,83.8652381
01-11-2021,80.89045455
01-12-2021,74.67826087
01-01-2022,85.62238095
01-02-2022,94.267
01-03-2022,112.44
01-04-2022,106.1557143
01-05-2022,112.1136364
01-06-2022,117.6927273
01-07-2022,105.2528571
01-08-2022,97.64304348
01-09-2022,90.60818182
01-10-2022,93.71857143
01-11-2022,90.93863636
01-12-2022,81.50318182
01-01-2023,84.08181818
01-02-2023,83.6325
01-03-2023,79.25652174
01-04-2023,83.536
01-05-2023,75.7473913
01-06-2023,74.975
01-07-2023,80.10904762
01-08-2023,85.16826087
01-09-2023,92.67333333
01-10-2023,88.94772727
01-11-2023,82.18636364
01-12-2023,77.54095238
01-01-2024,79.11
01-02-2024,81.79571429
01-03-2024,84.96142857
01-04-2024,88.97454545
01-05-2024,83.05391304
01-06-2024,82.9175
01-07-2024,84.04869565
01-08-2024,79.01863636
01-09-2024,73.05761905
01-10-2024,75.26652174
01-11-2024,73.50857143
01-12-2024,73.22772727
01-01-2025,78.19391304
01-02-2025,75.193
01-03-2025,71.74142857
01-04-2025,66.92727273
01-05-2025,64.09272727
01-06-2025,69.84666667
